Size,Insertion,Merge,Heap,Quick
30,249,111,205,125
40,449,161,306,205
50,621,221,418,245
60,965,280,518,340
70,1252,344,646,405
80,1619,406,771,512
90,2009,475,902,578
100,2585,542,1027,646
110,3097,615,1158,708
120,3558,681,1294,814
130,4380,749,1425,938
140,4921,824,1568,983
150,5696,900,1708,1038
160,6560,971,1859,1198
170,7516,1052,2005,1243
180,8103,1125,2157,1425
190,8940,1202,2306,1447
200,10232,1277,2453,1565
210,11117,1360,2606,1666
220,12164,1443,2762,1771
230,13596,1517,2908,1812
240,14254,1591,3068,1966
250,15858,1674,3214,2103
260,17038,1759,3379,2103
270,18678,1840,3533,2221
280,20113,1932,3695,2381
290,21533,2018,3848,2413
300,22414,2096,4016,2512
310,24437,2183,4184,2612
320,25797,2270,4355,2843
330,27613,2354,4520,2858
340,28830,2443,4691,2961
350,30752,2521,4852,3073
360,32097,2619,5031,3192
370,34286,2699,5199,3327
380,37170,2781,5358,3340
390,38265,2868,5535,3495
400,40587,2968,5699,3811
410,41871,3047,5868,3780
420,45521,3141,6032,3908
430,45981,3229,6217,3963
440,48944,3324,6387,4136
450,51460,3412,6562,4149
460,51965,3496,6738,4433
470,54964,3584,6910,4477
480,57573,3671,7083,4596
490,59880,3760,7267,4728
500,62513,3855,7431,4906
510,65365,3943,7593,4827
520,67815,4037,7785,5109
530,70784,4138,7965,5100
540,72688,4224,8136,5240
550,76692,4319,8329,5285
560,78757,4419,8514,5627
570,81412,4509,8690,5538
580,84081,4601,8890,5698
590,87409,4703,9049,5993
600,90821,4794,9240,6108
610,93113,4892,9444,6110
620,97698,4983,9617,6086
630,98257,5077,9812,6467
640,104298,5166,9997,6402
650,107092,5273,10174,6554
660,109951,5364,10349,6741
670,112846,5460,10561,6986
680,116443,5556,10727,6898
690,120674,5659,10931,6881
700,121623,5745,11114,7583
710,127129,5855,11296,7430
720,129082,5950,11477,7618
730,133936,6039,11694,7557
740,137389,6130,11875,7723
750,140312,6225,12059,8062
760,143317,6322,12244,7877
770,149361,6429,12431,7946
780,152796,6522,12630,8369
790,155267,6618,12835,8846
800,161190,6721,13008,8320
810,165194,6820,13209,8206
820,169233,6919,13385,8930
830,172955,7012,13586,8897
840,177913,7119,13757,8581
850,181167,7217,13944,9242
860,185701,7315,14171,9169
870,190112,7402,14354,9266
880,194021,7517,14535,9467
890,199831,7608,14735,9343
900,203236,7722,14913,9568
910,208189,7811,15124,9598
920,213815,7908,15299,9939
930,216617,8005,15500,10215
940,223304,8107,15681,10004
950,224672,8206,15891,10378
960,231377,8301,16072,10454
970,238900,8411,16282,10716
980,239537,8504,16479,10677
990,247882,8610,16659,11035
1000,251127,8708,16865,10758
