Area,Item,Year,Value
Afghanistan,Maize (corn),1961,1400.0
Afghanistan,Maize (corn),1962,1400.0
Afghanistan,Maize (corn),1963,1426.0
Afghanistan,Maize (corn),1964,1425.7
Afghanistan,Maize (corn),1965,1440.0
Afghanistan,Maize (corn),1966,1440.0
Afghanistan,Maize (corn),1967,1414.4
Afghanistan,Maize (corn),1968,1706.4
Afghanistan,Maize (corn),1969,1717.7
Afghanistan,Maize (corn),1970,1475.7
Afghanistan,Maize (corn),1971,1340.0
Afghanistan,Maize (corn),1972,1565.2
Afghanistan,Maize (corn),1973,1617.0
Afghanistan,Maize (corn),1974,1617.0
Afghanistan,Maize (corn),1975,1611.6
Afghanistan,Maize (corn),1976,1659.8
Afghanistan,Maize (corn),1977,1583.3
Afghanistan,Maize (corn),1978,1618.3
Afghanistan,Maize (corn),1979,1610.2
Afghanistan,Maize (corn),1980,1671.1
Afghanistan,Maize (corn),1981,1669.0
Afghanistan,Maize (corn),1982,1665.8
Afghanistan,Maize (corn),1983,1664.1
Afghanistan,Maize (corn),1984,1661.2
Afghanistan,Maize (corn),1985,1665.2
Afghanistan,Maize (corn),1986,1687.5
Afghanistan,Maize (corn),1987,1702.0
Afghanistan,Maize (corn),1988,1703.4
Afghanistan,Maize (corn),1989,1696.3
Afghanistan,Maize (corn),1990,1758.2
Afghanistan,Maize (corn),1991,1680.0
Afghanistan,Maize (corn),1992,1500.0
Afghanistan,Maize (corn),1993,1678.6
Afghanistan,Maize (corn),1994,1666.7
Afghanistan,Maize (corn),1995,1656.3
Afghanistan,Maize (corn),1996,1636.4
Afghanistan,Maize (corn),1997,1500.0
Afghanistan,Maize (corn),1998,1650.0
Afghanistan,Maize (corn),1999,1500.0
Afghanistan,Maize (corn),2000,1197.9
Afghanistan,Maize (corn),2001,2000.0
Afghanistan,Maize (corn),2002,2980.0
Afghanistan,Maize (corn),2003,840.0
Afghanistan,Maize (corn),2004,1600.0
Afghanistan,Maize (corn),2005,1206.9
Afghanistan,Maize (corn),2006,2620.4
Afghanistan,Maize (corn),2007,2627.7
Afghanistan,Maize (corn),2008,2627.7
Afghanistan,Maize (corn),2009,2142.9
Afghanistan,Maize (corn),2010,1644.8
Afghanistan,Maize (corn),2011,1640.0
Afghanistan,Maize (corn),2012,2198.6
Afghanistan,Maize (corn),2013,2197.2
Afghanistan,Maize (corn),2014,2488.2
Afghanistan,Maize (corn),2015,2145.7
Afghanistan,Maize (corn),2016,2051.7
Afghanistan,Maize (corn),2017,1295.7
Afghanistan,Maize (corn),2018,1472.7
Afghanistan,Maize (corn),2019,1945.7
Afghanistan,Maize (corn),2020,1934.4
Afghanistan,Maize (corn),2021,1900.4
Afghanistan,Maize (corn),2022,2237.4
