Area,Item,Year,Value
China,Maize (corn),1961,1184.8
China,Maize (corn),1962,1270.6
China,Maize (corn),1963,1340.4
China,Maize (corn),1964,1479.2
China,Maize (corn),1965,1511.5
China,Maize (corn),1966,1714.1
China,Maize (corn),1967,1935.8
China,Maize (corn),1968,1817.5
China,Maize (corn),1969,1776.9
China,Maize (corn),1970,2089.1
China,Maize (corn),1971,2146.1
China,Maize (corn),1972,1925.0
China,Maize (corn),1973,2334.4
China,Maize (corn),1974,2468.3
China,Maize (corn),1975,2542.2
China,Maize (corn),1976,2507.2
China,Maize (corn),1977,2515.8
China,Maize (corn),1978,2803.1
China,Maize (corn),1979,2985.1
China,Maize (corn),1980,3078.5
China,Maize (corn),1981,3050.7
China,Maize (corn),1982,3268.6
China,Maize (corn),1983,3625.5
China,Maize (corn),1984,3962.0
China,Maize (corn),1985,3610.3
China,Maize (corn),1986,3707.4
China,Maize (corn),1987,3923.0
China,Maize (corn),1988,3930.6
China,Maize (corn),1989,3881.3
China,Maize (corn),1990,4525.2
China,Maize (corn),1991,4579.9
China,Maize (corn),1992,4534.7
China,Maize (corn),1993,4964.1
China,Maize (corn),1994,4695.1
China,Maize (corn),1995,4917.7
China,Maize (corn),1996,5203.9
China,Maize (corn),1997,4390.1
China,Maize (corn),1998,5268.6
China,Maize (corn),1999,4945.8
China,Maize (corn),2000,4599.2
China,Maize (corn),2001,4699.9
China,Maize (corn),2002,4873.7
China,Maize (corn),2003,4814.6
China,Maize (corn),2004,5121.7
China,Maize (corn),2005,5288.1
China,Maize (corn),2006,5327.2
China,Maize (corn),2007,5167.3
China,Maize (corn),2008,5556.1
China,Maize (corn),2009,5259.3
China,Maize (corn),2010,5459.8
China,Maize (corn),2011,5748.1
China,Maize (corn),2012,5869.9
China,Maize (corn),2013,6016.1
China,Maize (corn),2014,5809.1
China,Maize (corn),2015,5892.9
China,Maize (corn),2016,5966.7
China,Maize (corn),2017,6110.3
China,Maize (corn),2018,6104.2
China,Maize (corn),2019,6317.1
China,Maize (corn),2020,6317.8
China,Maize (corn),2021,6291.2
China,Maize (corn),2022,6436.1
China,Maize (corn),2023,6531.7
China,Maize (corn),2024,6591.3
China,Millet,1961,974.3
China,Millet,1962,822.1
China,Millet,1963,879.9
China,Millet,1964,986.0
China,Millet,1965,945.2
China,Millet,1966,1285.5
China,Millet,1967,1285.6
China,Millet,1968,1250.0
China,Millet,1969,1231.9
China,Millet,1970,1410.9
China,Millet,1971,1357.1
China,Millet,1972,1077.1
China,Millet,1973,1166.7
China,Millet,1974,1250.2
China,Millet,1975,1226.5
China,Millet,1976,1233.3
China,Millet,1977,1372.6
China,Millet,1978,1533.4
China,Millet,1979,1473.6
China,Millet,1980,1406.2
China,Millet,1981,1481.9
China,Millet,1982,1629.0
China,Millet,1983,1844.5
China,Millet,1984,1849.8
China,Millet,1985,1801.2
China,Millet,1986,1523.5
China,Millet,1987,1688.2
China,Millet,1988,1755.6
China,Millet,1989,1565.7
China,Millet,1990,2007.9
China,Millet,1991,1645.4
China,Millet,1992,1776.3
China,Millet,1993,2182.7
China,Millet,1994,2211.0
China,Millet,1995,1983.6
China,Millet,1996,2359.1
China,Millet,1997,1603.6
China,Millet,1998,2205.9
China,Millet,1999,1744.2
China,Millet,2000,1700.2
China,Millet,2001,1712.3
China,Millet,2002,1909.3
China,Millet,2003,1895.6
China,Millet,2004,1979.0
China,Millet,2005,2101.8
China,Millet,2006,2121.0
China,Millet,2007,1796.1
China,Millet,2008,1578.3
China,Millet,2009,1554.9
China,Millet,2010,1945.0
China,Millet,2011,2102.3
China,Millet,2012,2439.3
China,Millet,2013,2439.2
China,Millet,2014,3036.7
China,Millet,2015,2341.9
China,Millet,2016,2526.9
China,Millet,2017,2958.7
China,Millet,2018,3008.7
China,Millet,2019,3139.1
China,Millet,2020,2877.5
China,Millet,2021,3108.1
China,Millet,2022,3117.1
China,Millet,2023,3087.5
China,Millet,2024,3147.3
China,Other pulses n.e.c.,1992,1200.0
China,Other pulses n.e.c.,1993,3250.0
China,Other pulses n.e.c.,1994,1600.0
China,Other pulses n.e.c.,1995,2000.0
China,Other pulses n.e.c.,1996,2005.6
China,Other pulses n.e.c.,1997,2000.0
China,Other pulses n.e.c.,1998,2190.9
China,Other pulses n.e.c.,1999,1666.7
China,Other pulses n.e.c.,2000,1774.2
China,Other pulses n.e.c.,2001,1714.3
China,Other pulses n.e.c.,2002,1666.7
China,Other pulses n.e.c.,2003,2166.7
China,Other pulses n.e.c.,2004,2450.0
China,Other pulses n.e.c.,2005,2133.3
China,Other pulses n.e.c.,2006,2200.0
China,Other pulses n.e.c.,2007,2200.0
China,Other pulses n.e.c.,2008,2620.0
China,Other pulses n.e.c.,2009,2347.6
China,Other pulses n.e.c.,2010,2373.6
China,Other pulses n.e.c.,2011,2688.2
China,Other pulses n.e.c.,2012,2185.2
China,Other pulses n.e.c.,2013,2320.8
China,Other pulses n.e.c.,2014,2392.6
China,Other pulses n.e.c.,2015,2560.0
China,Other pulses n.e.c.,2016,2548.3
China,Other pulses n.e.c.,2017,2724.0
China,Other pulses n.e.c.,2018,2556.1
China,Other pulses n.e.c.,2019,2576.6
China,Other pulses n.e.c.,2020,2582.0
China,Other pulses n.e.c.,2021,2620.3
China,Other pulses n.e.c.,2022,2616.7
China,Other pulses n.e.c.,2023,2637.4
China,Other pulses n.e.c.,2024,2657.8
China,Rice,1961,2078.7
China,Rice,1962,2370.0
China,Rice,1963,2683.3
China,Rice,1964,2828.9
China,Rice,1965,2966.7
China,Rice,1966,3144.5
China,Rice,1967,3100.6
China,Rice,1968,3186.8
China,Rice,1969,3141.5
China,Rice,1970,3416.2
China,Rice,1971,3314.5
China,Rice,1972,3247.5
China,Rice,1973,3481.8
China,Rice,1974,3503.3
China,Rice,1975,3528.3
China,Rice,1976,3495.7
China,Rice,1977,3637.3
China,Rice,1978,3980.9
China,Rice,1979,4249.1
China,Rice,1980,4143.5
China,Rice,1981,4331.5
China,Rice,1982,4888.8
China,Rice,1983,5091.8
China,Rice,1984,5363.4
China,Rice,1985,5249.8
China,Rice,1986,5327.2
China,Rice,1987,5403.5
China,Rice,1988,5281.9
China,Rice,1989,5500.5
China,Rice,1990,5716.6
China,Rice,1991,5636.9
China,Rice,1992,5795.9
China,Rice,1993,5846.2
China,Rice,1994,5828.8
China,Rice,1995,6021.0
China,Rice,1996,6205.0
China,Rice,1997,6311.1
China,Rice,1998,6352.9
China,Rice,1999,6334.4
China,Rice,2000,6264.2
China,Rice,2001,6152.4
China,Rice,2002,6185.6
China,Rice,2003,6060.6
China,Rice,2004,6308.4
China,Rice,2005,6252.7
China,Rice,2006,6276.4
China,Rice,2007,6422.4
China,Rice,2008,6555.8
China,Rice,2009,6582.0
China,Rice,2010,6548.2
China,Rice,2011,6686.2
China,Rice,2012,6774.7
China,Rice,2013,6710.0
China,Rice,2014,6809.5
China,Rice,2015,6886.3
China,Rice,2016,6856.3
China,Rice,2017,6912.2
China,Rice,2018,7028.0
China,Rice,2019,7056.2
China,Rice,2020,7040.2
China,Rice,2021,7112.4
China,Rice,2022,7075.8
China,Rice,2023,7132.4
China,Rice,2024,7149.5
China,Wheat,1961,559.1
China,Wheat,1962,694.1
China,Wheat,1963,778.2
China,Wheat,1964,821.5
China,Wheat,1965,1022.2
China,Wheat,1966,1058.6
China,Wheat,1967,1127.5
China,Wheat,1968,1114.9
China,Wheat,1969,1085.6
China,Wheat,1970,1147.6
China,Wheat,1971,1271.8
China,Wheat,1972,1369.5
China,Wheat,1973,1333.7
China,Wheat,1974,1511.6
China,Wheat,1975,1639.7
China,Wheat,1976,1775.4
China,Wheat,1977,1465.0
China,Wheat,1978,1844.9
China,Wheat,1979,2139.5
China,Wheat,1980,1891.4
China,Wheat,1981,2109.1
China,Wheat,1982,2451.7
China,Wheat,1983,2801.7
China,Wheat,1984,2969.1
China,Wheat,1985,2936.7
China,Wheat,1986,3040.3
China,Wheat,1987,2982.9
China,Wheat,1988,2967.9
China,Wheat,1989,3043.0
China,Wheat,1990,3194.1
China,Wheat,1991,3100.4
China,Wheat,1992,3331.2
China,Wheat,1993,3518.8
China,Wheat,1994,3426.3
China,Wheat,1995,3541.5
China,Wheat,1996,3734.1
China,Wheat,1997,4101.9
China,Wheat,1998,3685.2
China,Wheat,1999,3946.6
China,Wheat,2000,3738.2
China,Wheat,2001,3806.1
China,Wheat,2002,3776.6
China,Wheat,2003,3931.8
China,Wheat,2004,4251.9
China,Wheat,2005,4275.3
China,Wheat,2006,4593.5
China,Wheat,2007,4607.6
China,Wheat,2008,4762.0
China,Wheat,2009,4739.0
China,Wheat,2010,4748.4
China,Wheat,2011,4837.4
China,Wheat,2012,4986.8
China,Wheat,2013,5055.3
China,Wheat,2014,5243.3
China,Wheat,2015,5392.3
China,Wheat,2016,5396.1
China,Wheat,2017,5483.8
China,Wheat,2018,5416.3
China,Wheat,2019,5629.4
China,Wheat,2020,5741.6
China,Wheat,2021,5810.2
China,Wheat,2022,5855.2
China,Wheat,2023,5780.7
China,Wheat,2024,5939.3
