Area,Item,Year,Value
India,Maize (corn),1961,956.7
India,Maize (corn),1962,992.2
India,Maize (corn),1963,995.4
India,Maize (corn),1964,1010.0
India,Maize (corn),1965,1005.0
India,Maize (corn),1966,964.5
India,Maize (corn),1967,1122.8
India,Maize (corn),1968,997.4
India,Maize (corn),1969,967.9
India,Maize (corn),1970,1279.1
India,Maize (corn),1971,899.9
India,Maize (corn),1972,1094.3
India,Maize (corn),1973,964.8
India,Maize (corn),1974,948.1
India,Maize (corn),1975,1203.1
India,Maize (corn),1976,1060.1
India,Maize (corn),1977,1051.1
India,Maize (corn),1978,1076.2
India,Maize (corn),1979,979.4
India,Maize (corn),1980,1158.6
India,Maize (corn),1981,1162.2
India,Maize (corn),1982,1144.8
India,Maize (corn),1983,1352.1
India,Maize (corn),1984,1455.6
India,Maize (corn),1985,1146.0
India,Maize (corn),1986,1281.9
India,Maize (corn),1987,1028.8
India,Maize (corn),1988,1395.5
India,Maize (corn),1989,1631.6
India,Maize (corn),1990,1517.8
India,Maize (corn),1991,1376.3
India,Maize (corn),1992,1622.7
India,Maize (corn),1993,1586.6
India,Maize (corn),1994,1471.6
India,Maize (corn),1995,1550.3
India,Maize (corn),1996,1678.0
India,Maize (corn),1997,1747.7
India,Maize (corn),1998,1776.7
India,Maize (corn),1999,1784.8
India,Maize (corn),2000,1799.2
India,Maize (corn),2001,1993.3
India,Maize (corn),2002,1688.5
India,Maize (corn),2003,2015.9
India,Maize (corn),2004,1868.2
India,Maize (corn),2005,1955.7
India,Maize (corn),2006,1811.1
India,Maize (corn),2007,2315.8
India,Maize (corn),2008,2276.5
India,Maize (corn),2009,2146.1
India,Maize (corn),2010,2483.8
India,Maize (corn),2011,2493.5
India,Maize (corn),2012,2493.0
India,Maize (corn),2013,2645.9
India,Maize (corn),2014,2588.8
India,Maize (corn),2015,2637.2
India,Maize (corn),2016,2686.3
India,Maize (corn),2017,2937.5
India,Maize (corn),2018,3023.4
India,Maize (corn),2019,2998.1
India,Maize (corn),2020,3161.4
India,Maize (corn),2021,3303.3
India,Maize (corn),2022,3395.4
India,Maize (corn),2023,3326.5
India,Maize (corn),2024,3544.8
India,Millet,1961,414.1
India,Millet,1962,431.2
India,Millet,1963,435.3
India,Millet,1964,450.1
India,Millet,1965,345.1
India,Millet,1966,396.4
India,Millet,1967,449.8
India,Millet,1968,381.0
India,Millet,1969,458.6
India,Millet,1970,603.5
India,Millet,1971,492.5
India,Millet,1972,402.2
India,Millet,1973,554.0
India,Millet,1974,385.4
India,Millet,1975,554.0
India,Millet,1976,538.3
India,Millet,1977,528.8
India,Millet,1978,576.4
India,Millet,1979,470.7
India,Millet,1980,514.2
India,Millet,1981,557.5
India,Millet,1982,509.3
India,Millet,1983,678.5
India,Millet,1984,602.4
India,Millet,1985,456.5
India,Millet,1986,503.6
India,Millet,1987,495.7
India,Millet,1988,663.7
India,Millet,1989,672.4
India,Millet,1990,690.5
India,Millet,1991,570.6
India,Millet,1992,846.6
India,Millet,1993,620.6
India,Millet,1994,747.5
India,Millet,1995,679.0
India,Millet,1996,803.9
India,Millet,1997,787.3
India,Millet,1998,812.0
India,Millet,1999,732.2
India,Millet,2000,781.5
India,Millet,2001,900.6
India,Millet,2002,631.1
India,Millet,2003,1081.4
India,Millet,2004,913.6
India,Millet,2005,857.5
India,Millet,2006,888.2
India,Millet,2007,1044.9
India,Millet,2008,1031.2
India,Millet,2009,800.9
India,Millet,2010,1105.5
India,Millet,2011,1171.4
India,Millet,2012,1205.0
India,Millet,2013,1204.0
India,Millet,2014,1275.9
India,Millet,2015,1152.8
India,Millet,2016,1270.9
India,Millet,2017,1261.6
India,Millet,2018,1211.4
India,Millet,2019,1386.8
India,Millet,2020,1427.1
India,Millet,2021,1396.0
India,Millet,2022,1417.7
India,Millet,2023,1419.7
India,Millet,2024,1431.4
India,Other pulses n.e.c.,1961,403.7
India,Other pulses n.e.c.,1962,414.6
India,Other pulses n.e.c.,1963,401.9
India,Other pulses n.e.c.,1964,450.2
India,Other pulses n.e.c.,1965,444.0
India,Other pulses n.e.c.,1966,382.8
India,Other pulses n.e.c.,1967,395.3
India,Other pulses n.e.c.,1968,437.6
India,Other pulses n.e.c.,1969,444.6
India,Other pulses n.e.c.,1970,474.4
India,Other pulses n.e.c.,1971,457.3
India,Other pulses n.e.c.,1972,452.6
India,Other pulses n.e.c.,1973,359.7
India,Other pulses n.e.c.,1974,388.4
India,Other pulses n.e.c.,1975,432.4
India,Other pulses n.e.c.,1976,440.0
India,Other pulses n.e.c.,1977,337.8
India,Other pulses n.e.c.,1978,368.1
India,Other pulses n.e.c.,1979,360.8
India,Other pulses n.e.c.,1980,293.0
India,Other pulses n.e.c.,1981,351.2
India,Other pulses n.e.c.,1982,321.3
India,Other pulses n.e.c.,1983,370.1
India,Other pulses n.e.c.,1984,438.4
India,Other pulses n.e.c.,1985,376.6
India,Other pulses n.e.c.,1986,407.4
India,Other pulses n.e.c.,1987,410.7
India,Other pulses n.e.c.,1988,390.9
India,Other pulses n.e.c.,1989,424.7
India,Other pulses n.e.c.,1990,331.2
India,Rice,1961,1541.9
India,Rice,1962,1395.9
India,Rice,1963,1549.8
India,Rice,1964,1617.1
