Area,Item,Year,Value
Philippines,Maize (corn),1961,628.0
Philippines,Maize (corn),1962,652.9
Philippines,Maize (corn),1963,681.2
Philippines,Maize (corn),1964,682.7
Philippines,Maize (corn),1965,655.2
Philippines,Maize (corn),1966,690.5
Philippines,Maize (corn),1967,720.3
Philippines,Maize (corn),1968,768.1
Philippines,Maize (corn),1969,830.0
Philippines,Maize (corn),1970,828.7
Philippines,Maize (corn),1971,824.8
Philippines,Maize (corn),1972,784.0
Philippines,Maize (corn),1973,828.0
Philippines,Maize (corn),1974,835.2
Philippines,Maize (corn),1975,851.0
Philippines,Maize (corn),1976,855.7
Philippines,Maize (corn),1977,885.4
Philippines,Maize (corn),1978,942.5
Philippines,Maize (corn),1979,975.5
Philippines,Maize (corn),1980,960.2
Philippines,Maize (corn),1981,979.0
Philippines,Maize (corn),1982,990.0
Philippines,Maize (corn),1983,1023.2
Philippines,Maize (corn),1984,1065.7
Philippines,Maize (corn),1985,1117.1
Philippines,Maize (corn),1986,1148.2
Philippines,Maize (corn),1987,1161.7
Philippines,Maize (corn),1988,1182.3
Philippines,Maize (corn),1989,1225.8
Philippines,Maize (corn),1990,1335.8
Philippines,Maize (corn),1991,1296.9
Philippines,Maize (corn),1992,1386.5
Philippines,Maize (corn),1993,1523.5
Philippines,Maize (corn),1994,1503.5
Philippines,Maize (corn),1995,1533.4
Philippines,Maize (corn),1996,1517.5
Philippines,Maize (corn),1997,1589.4
Philippines,Maize (corn),1998,1624.0
Philippines,Maize (corn),1999,1735.1
Philippines,Maize (corn),2000,1797.0
Philippines,Maize (corn),2001,1819.8
Philippines,Maize (corn),2002,1803.1
Philippines,Maize (corn),2003,1915.3
Philippines,Maize (corn),2004,2142.1
Philippines,Maize (corn),2005,2151.4
Philippines,Maize (corn),2006,2366.0
Philippines,Maize (corn),2007,2543.9
Philippines,Maize (corn),2008,2603.6
Philippines,Maize (corn),2009,2620.8
Philippines,Maize (corn),2010,2551.7
Philippines,Maize (corn),2011,2739.6
Philippines,Maize (corn),2012,2855.5
Philippines,Maize (corn),2013,2877.6
Philippines,Maize (corn),2014,2975.6
Philippines,Maize (corn),2015,2934.8
Philippines,Maize (corn),2016,2905.6
Philippines,Maize (corn),2017,3100.7
Philippines,Maize (corn),2018,3094.6
Philippines,Maize (corn),2019,3170.3
Philippines,Maize (corn),2020,3179.0
Philippines,Maize (corn),2021,3231.2
Philippines,Maize (corn),2022,3268.9
Philippines,Maize (corn),2023,3307.8
Philippines,Maize (corn),2024,3312.9
Philippines,Other pulses n.e.c.,1981,1333.3
Philippines,Other pulses n.e.c.,1982,1348.9
Philippines,Other pulses n.e.c.,1983,1231.3
Philippines,Other pulses n.e.c.,1984,1281.2
Philippines,Other pulses n.e.c.,1985,1084.6
Philippines,Other pulses n.e.c.,1986,1155.0
Philippines,Other pulses n.e.c.,1987,1068.2
Philippines,Other pulses n.e.c.,1988,1059.1
Philippines,Other pulses n.e.c.,1989,1125.8
Philippines,Other pulses n.e.c.,1990,1124.6
Philippines,Other pulses n.e.c.,1991,1125.4
Philippines,Other pulses n.e.c.,1992,1112.2
Philippines,Other pulses n.e.c.,1993,1151.6
Philippines,Other pulses n.e.c.,1994,997.2
Philippines,Other pulses n.e.c.,1995,885.2
Philippines,Other pulses n.e.c.,1996,869.1
Philippines,Other pulses n.e.c.,1997,774.1
Philippines,Other pulses n.e.c.,1998,766.2
Philippines,Other pulses n.e.c.,1999,783.8
Philippines,Other pulses n.e.c.,2000,794.7
Philippines,Other pulses n.e.c.,2001,767.1
Philippines,Other pulses n.e.c.,2002,781.4
Philippines,Other pulses n.e.c.,2003,780.8
Philippines,Other pulses n.e.c.,2004,779.5
Philippines,Other pulses n.e.c.,2005,780.8
Philippines,Other pulses n.e.c.,2006,763.9
Philippines,Other pulses n.e.c.,2007,786.7
Philippines,Other pulses n.e.c.,2008,793.8
Philippines,Other pulses n.e.c.,2009,794.9
Philippines,Other pulses n.e.c.,2010,815.1
Philippines,Other pulses n.e.c.,2011,842.1
Philippines,Other pulses n.e.c.,2012,881.6
Philippines,Other pulses n.e.c.,2013,881.6
Philippines,Other pulses n.e.c.,2014,872.0
Philippines,Other pulses n.e.c.,2015,854.2
Philippines,Other pulses n.e.c.,2016,869.9
Philippines,Other pulses n.e.c.,2017,877.1
Philippines,Other pulses n.e.c.,2018,835.6
Philippines,Other pulses n.e.c.,2019,819.9
Philippines,Other pulses n.e.c.,2020,808.9
Philippines,Other pulses n.e.c.,2021,846.9
Philippines,Other pulses n.e.c.,2022,841.1
Philippines,Other pulses n.e.c.,2023,833.8
Philippines,Other pulses n.e.c.,2024,830.4
Philippines,Rice,1961,1229.9
Philippines,Rice,1962,1254.8
Philippines,Rice,1963,1244.7
Philippines,Rice,1964,1247.8
Philippines,Rice,1965,1309.9
Philippines,Rice,1966,1322.3
Philippines,Rice,1967,1380.4
Philippines,Rice,1968,1333.9
Philippines,Rice,1969,1709.8
Philippines,Rice,1970,1746.0
Philippines,Rice,1971,1598.0
Philippines,Rice,1972,1443.1
Philippines,Rice,1973,1462.4
Philippines,Rice,1974,1545.8
Philippines,Rice,1975,1663.6
Philippines,Rice,1976,1796.7
Philippines,Rice,1977,2014.2
Philippines,Rice,1978,2025.3
Philippines,Rice,1979,2113.1
Philippines,Rice,1980,2210.5
Philippines,Rice,1981,2297.7
Philippines,Rice,1982,2634.2
Philippines,Rice,1983,2322.7
Philippines,Rice,1984,2430.0
Philippines,Rice,1985,2587.9
Philippines,Rice,1986,2717.3
Philippines,Rice,1987,2622.9
Philippines,Rice,1988,2644.2
Philippines,Rice,1989,2704.6
Philippines,Rice,1990,2978.6
Philippines,Rice,1991,2824.3
Philippines,Rice,1992,2854.5
Philippines,Rice,1993,2874.2
Philippines,Rice,1994,2885.9
Philippines,Rice,1995,2804.3
Philippines,Rice,1996,2855.8
Philippines,Rice,1997,2932.9
Philippines,Rice,1998,2698.6
Philippines,Rice,1999,2946.8
Philippines,Rice,2000,3068.1
Philippines,Rice,2001,3186.6
Philippines,Rice,2002,3279.7
Philippines,Rice,2003,3369.6
Philippines,Rice,2004,3513.0
Philippines,Rice,2005,3587.6
Philippines,Rice,2006,3684.4
Philippines,Rice,2007,3800.8
Philippines,Rice,2008,3770.3
Philippines,Rice,2009,3589.0
Philippines,Rice,2010,3622.4
Philippines,Rice,2011,3677.6
Philippines,Rice,2012,3844.8
Philippines,Rice,2013,3885.2
Philippines,Rice,2014,4001.9
Philippines,Rice,2015,3898.0
Philippines,Rice,2016,3869.0
Philippines,Rice,2017,4006.1
Philippines,Rice,2018,3971.8
Philippines,Rice,2019,4044.9
Philippines,Rice,2020,4088.8
Philippines,Rice,2021,4154.0
Philippines,Rice,2022,4112.0
Philippines,Rice,2023,4165.4
Philippines,Rice,2024,4108.4
