Area,Item,Year,Value
Indonesia,Maize (corn),1961,927.3
Indonesia,Maize (corn),1962,1021.4
Indonesia,Maize (corn),1963,921.4
Indonesia,Maize (corn),1964,1033.6
Indonesia,Maize (corn),1965,943.2
Indonesia,Maize (corn),1966,984.0
Indonesia,Maize (corn),1967,930.2
Indonesia,Maize (corn),1968,983.2
Indonesia,Maize (corn),1969,941.7
Indonesia,Maize (corn),1970,961.4
Indonesia,Maize (corn),1971,992.3
Indonesia,Maize (corn),1972,1043.7
Indonesia,Maize (corn),1973,1074.8
Indonesia,Maize (corn),1974,1129.0
Indonesia,Maize (corn),1975,1187.3
Indonesia,Maize (corn),1976,1227.7
Indonesia,Maize (corn),1977,1224.5
Indonesia,Maize (corn),1978,1332.1
Indonesia,Maize (corn),1979,1390.2
Indonesia,Maize (corn),1980,1459.2
Indonesia,Maize (corn),1981,1526.0
Indonesia,Maize (corn),1982,1569.3
Indonesia,Maize (corn),1983,1694.4
Indonesia,Maize (corn),1984,1713.4
Indonesia,Maize (corn),1985,1774.4
Indonesia,Maize (corn),1986,1883.8
Indonesia,Maize (corn),1987,1963.3
Indonesia,Maize (corn),1988,1953.1
Indonesia,Maize (corn),1989,2103.3
Indonesia,Maize (corn),1990,2132.3
Indonesia,Maize (corn),1991,2150.5
Indonesia,Maize (corn),1992,2203.0
Indonesia,Maize (corn),1993,2197.5
Indonesia,Maize (corn),1994,2209.1
Indonesia,Maize (corn),1995,2258.0
Indonesia,Maize (corn),1996,2486.2
Indonesia,Maize (corn),1997,2614.1
Indonesia,Maize (corn),1998,2652.6
Indonesia,Maize (corn),1999,2662.9
Indonesia,Maize (corn),2000,2764.9
Indonesia,Maize (corn),2001,2844.6
Indonesia,Maize (corn),2002,3065.5
Indonesia,Maize (corn),2003,3241.4
Indonesia,Maize (corn),2004,3343.9
Indonesia,Maize (corn),2005,3453.9
Indonesia,Maize (corn),2006,3469.9
Indonesia,Maize (corn),2007,3660.1
Indonesia,Maize (corn),2008,4077.6
Indonesia,Maize (corn),2009,4237.2
Indonesia,Maize (corn),2010,4435.9
Indonesia,Maize (corn),2011,4565.2
Indonesia,Maize (corn),2012,4898.7
Indonesia,Maize (corn),2013,4844.1
Indonesia,Maize (corn),2014,4954.0
Indonesia,Maize (corn),2015,5178.4
Indonesia,Maize (corn),2016,5305.2
Indonesia,Maize (corn),2017,5297.7
Indonesia,Maize (corn),2018,5307.0
Indonesia,Maize (corn),2019,6143.9
Indonesia,Maize (corn),2020,5530.2
Indonesia,Maize (corn),2021,5762.3
Indonesia,Maize (corn),2022,5978.7
Indonesia,Maize (corn),2023,5966.8
Indonesia,Maize (corn),2024,5940.0
Indonesia,Other pulses n.e.c.,1961,555.6
