Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","1961","1961","kg/ha","1400","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","1962","1962","kg/ha","1400","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","1963","1963","kg/ha","1426","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","1964","1964","kg/ha","1425.7","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","1965","1965","kg/ha","1440","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","1966","1966","kg/ha","1440","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","1967","1967","kg/ha","1414.4","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","1968","1968","kg/ha","1706.4","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","1969","1969","kg/ha","1717.7","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","1970","1970","kg/ha","1475.7","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","1971","1971","kg/ha","1340","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","1972","1972","kg/ha","1565.2","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","1973","1973","kg/ha","1617","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","1974","1974","kg/ha","1617","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","1975","1975","kg/ha","1611.6","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","1976","1976","kg/ha","1659.8","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","1977","1977","kg/ha","1583.3","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","1978","1978","kg/ha","1618.3","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","1979","1979","kg/ha","1610.2","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","1980","1980","kg/ha","1671.1","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","1981","1981","kg/ha","1669","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","1982","1982","kg/ha","1665.8","X","Figure from external organization",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","1983","1983","kg/ha","1664.1","X","Figure from external organization",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","1984","1984","kg/ha","1661.2","X","Figure from external organization",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","1985","1985","kg/ha","1665.2","X","Figure from external organization",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","1986","1986","kg/ha","1687.5","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","1987","1987","kg/ha","1702","X","Figure from external organization",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","1988","1988","kg/ha","1703.4","X","Figure from external organization",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","1989","1989","kg/ha","1696.3","X","Figure from external organization",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","1990","1990","kg/ha","1758.2","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","1991","1991","kg/ha","1680","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","1992","1992","kg/ha","1500","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","1993","1993","kg/ha","1678.6","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","1994","1994","kg/ha","1666.7","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","1995","1995","kg/ha","1656.3","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","1996","1996","kg/ha","1636.4","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","1997","1997","kg/ha","1500","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","1998","1998","kg/ha","1650","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","1999","1999","kg/ha","1500","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","2000","2000","kg/ha","1197.9","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","2001","2001","kg/ha","2000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","2002","2002","kg/ha","2980","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","2003","2003","kg/ha","840","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","2004","2004","kg/ha","1600","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","2005","2005","kg/ha","1206.9","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","2006","2006","kg/ha","2620.4","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","2007","2007","kg/ha","2627.7","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","2008","2008","kg/ha","2627.7","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","2009","2009","kg/ha","2142.9","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","2010","2010","kg/ha","1644.8","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","2011","2011","kg/ha","1640","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","2012","2012","kg/ha","2198.6","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","2013","2013","kg/ha","2197.2","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","2014","2014","kg/ha","2488.2","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","2015","2015","kg/ha","2145.7","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","2016","2016","kg/ha","2051.7","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","2017","2017","kg/ha","1295.7","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","2018","2018","kg/ha","1472.7","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","2019","2019","kg/ha","1945.7","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","2020","2020","kg/ha","1934.4","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","2021","2021","kg/ha","1900.4","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","2022","2022","kg/ha","2237.4","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","2023","2023","kg/ha","2858.3","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","2024","2024","kg/ha","1925.9","X","Figure from external organization",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","1961","1961","kg/ha","808.5","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","1962","1962","kg/ha","816.3","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","1963","1963","kg/ha","823.5","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","1964","1964","kg/ha","830.2","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","1965","1965","kg/ha","836.4","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","1966","1966","kg/ha","842.1","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","1967","1967","kg/ha","847.5","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","1968","1968","kg/ha","881.4","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","1969","1969","kg/ha","857.1","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","1970","1970","kg/ha","848.5","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","1971","1971","kg/ha","828.6","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","1972","1972","kg/ha","833.3","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","1973","1973","kg/ha","810.8","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","1974","1974","kg/ha","815.8","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","1975","1975","kg/ha","800","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","1976","1976","kg/ha","952.4","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","1977","1977","kg/ha","814","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","1978","1978","kg/ha","857.1","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","1979","1979","kg/ha","860.8","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","1980","1980","kg/ha","860.8","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","1981","1981","kg/ha","864.9","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","1982","1982","kg/ha","857.1","X","Figure from external organization",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","1983","1983","kg/ha","857.1","X","Figure from external organization",""
