Area,Item,Year,Area harvested,Yield
Afghanistan,Maize (corn),1961,500000.0,1400.0
Afghanistan,Maize (corn),1962,500000.0,1400.0
Afghanistan,Maize (corn),1963,500000.0,1426.0
Afghanistan,Maize (corn),1964,505000.0,1425.7
Afghanistan,Maize (corn),1965,500000.0,1440.0
Afghanistan,Maize (corn),1966,500000.0,1440.0
Afghanistan,Maize (corn),1967,543000.0,1414.4
Afghanistan,Maize (corn),1968,453000.0,1706.4
Afghanistan,Maize (corn),1969,457000.0,1717.7
Afghanistan,Maize (corn),1970,452000.0,1475.7
Afghanistan,Maize (corn),1971,500000.0,1340.0
Afghanistan,Maize (corn),1972,460000.0,1565.2
Afghanistan,Maize (corn),1973,470000.0,1617.0
Afghanistan,Maize (corn),1974,476200.0,1617.0
Afghanistan,Maize (corn),1975,484000.0,1611.6
Afghanistan,Maize (corn),1976,482000.0,1659.8
Afghanistan,Maize (corn),1977,480000.0,1583.3
Afghanistan,Maize (corn),1978,482000.0,1618.3
Afghanistan,Maize (corn),1979,472000.0,1610.2
Afghanistan,Maize (corn),1980,450000.0,1671.1
Afghanistan,Maize (corn),1981,420000.0,1669.0
Afghanistan,Maize (corn),1982,398000.0,1665.8
Afghanistan,Maize (corn),1983,384000.0,1664.1
Afghanistan,Maize (corn),1984,366000.0,1661.2
Afghanistan,Maize (corn),1985,346500.0,1665.2
Afghanistan,Maize (corn),1986,336000.0,1687.5
Afghanistan,Maize (corn),1987,302000.0,1702.0
Afghanistan,Maize (corn),1988,290000.0,1703.4
Afghanistan,Maize (corn),1989,270000.0,1696.3
Afghanistan,Maize (corn),1990,273000.0,1758.2
Afghanistan,Maize (corn),1991,250000.0,1680.0
Afghanistan,Maize (corn),1992,200000.0,1500.0
Afghanistan,Maize (corn),1993,280000.0,1678.6
Afghanistan,Maize (corn),1994,300000.0,1666.7
Afghanistan,Maize (corn),1995,320000.0,1656.3
Afghanistan,Maize (corn),1996,220000.0,1636.4
Afghanistan,Maize (corn),1997,200000.0,1500.0
Afghanistan,Maize (corn),1998,200000.0,1650.0
Afghanistan,Maize (corn),1999,160000.0,1500.0
Afghanistan,Maize (corn),2000,96000.0,1197.9
Afghanistan,Maize (corn),2001,80000.0,2000.0
Afghanistan,Maize (corn),2002,100000.0,2980.0
Afghanistan,Maize (corn),2003,250000.0,840.0
Afghanistan,Maize (corn),2004,250000.0,1600.0
Afghanistan,Maize (corn),2005,261000.0,1206.9
Afghanistan,Maize (corn),2006,137000.0,2620.4
Afghanistan,Maize (corn),2007,137000.0,2627.7
Afghanistan,Maize (corn),2008,137000.0,2627.7
Afghanistan,Maize (corn),2009,140000.0,2142.9
Afghanistan,Maize (corn),2010,183000.0,1644.8
Afghanistan,Maize (corn),2011,183000.0,1640.0
Afghanistan,Maize (corn),2012,141000.0,2198.6
Afghanistan,Maize (corn),2013,142000.0,2197.2
Afghanistan,Maize (corn),2014,127000.0,2488.2
Afghanistan,Maize (corn),2015,147273.0,2145.7
Afghanistan,Maize (corn),2016,151900.0,2051.7
