Area,Item,Year,Area harvested,Yield
Bangladesh,Maize (corn),1961,8903.0,798.8
Bangladesh,Maize (corn),1962,6880.0,738.4
Bangladesh,Maize (corn),1963,5261.0,772.5
Bangladesh,Maize (corn),1964,4047.0,753.2
Bangladesh,Maize (corn),1965,4047.0,753.2
Bangladesh,Maize (corn),1966,3600.0,833.3
Bangladesh,Maize (corn),1967,3200.0,937.5
Bangladesh,Maize (corn),1968,3200.0,937.5
Bangladesh,Maize (corn),1969,3200.0,937.5
Bangladesh,Maize (corn),1970,3200.0,937.5
Bangladesh,Maize (corn),1971,2800.0,714.3
Bangladesh,Maize (corn),1972,2800.0,714.3
Bangladesh,Maize (corn),1973,2724.0,874.4
Bangladesh,Maize (corn),1974,2656.0,887.8
Bangladesh,Maize (corn),1975,2481.0,902.5
Bangladesh,Maize (corn),1976,2398.0,897.4
Bangladesh,Maize (corn),1977,2333.0,840.5
Bangladesh,Maize (corn),1978,2215.0,799.1
Bangladesh,Maize (corn),1979,2004.0,726.5
Bangladesh,Maize (corn),1980,1927.0,714.6
Bangladesh,Maize (corn),1981,1841.0,730.0
Bangladesh,Maize (corn),1982,1588.0,738.7
Bangladesh,Maize (corn),1983,1230.0,782.9
Bangladesh,Maize (corn),1984,1131.0,817.9
Bangladesh,Maize (corn),1985,3772.0,866.9
Bangladesh,Maize (corn),1986,3158.0,924.6
Bangladesh,Maize (corn),1987,3102.0,945.8
Bangladesh,Maize (corn),1988,3369.0,911.8
Bangladesh,Maize (corn),1989,3567.0,941.7
Bangladesh,Maize (corn),1990,3345.0,1001.5
Bangladesh,Maize (corn),1991,3108.0,978.1
Bangladesh,Maize (corn),1992,2924.0,931.9
Bangladesh,Maize (corn),1993,2914.0,935.1
Bangladesh,Maize (corn),1994,3080.0,904.2
Bangladesh,Maize (corn),1995,2500.0,1070.0
Bangladesh,Maize (corn),1996,2651.0,1016.6
Bangladesh,Maize (corn),1997,2428.0,1091.4
Bangladesh,Maize (corn),1998,4047.0,733.9
Bangladesh,Maize (corn),1999,3240.0,1234.6
Bangladesh,Maize (corn),2000,4855.0,2059.7
Bangladesh,Maize (corn),2001,19970.0,3221.6
Bangladesh,Maize (corn),2002,29060.0,4034.9
Bangladesh,Maize (corn),2003,29071.0,4033.4
Bangladesh,Maize (corn),2004,50051.0,4824.3
Bangladesh,Maize (corn),2005,66830.0,5331.1
Bangladesh,Maize (corn),2006,98404.0,5299.8
Bangladesh,Maize (corn),2007,150832.0,5981.2
Bangladesh,Maize (corn),2008,223770.0,6017.2
Bangladesh,Maize (corn),2009,128386.0,5683.1
Bangladesh,Maize (corn),2010,152009.0,5837.8
Bangladesh,Maize (corn),2011,165542.0,6151.2
Bangladesh,Maize (corn),2012,197108.0,6583.8
Bangladesh,Maize (corn),2013,234714.0,6595.3
Bangladesh,Maize (corn),2014,307152.0,6915.1
Bangladesh,Maize (corn),2015,325308.0,6984.1
Bangladesh,Maize (corn),2016,334974.0,7300.8
Bangladesh,Maize (corn),2017,389878.0,7759.8
Bangladesh,Maize (corn),2018,400478.0,8210.4
Bangladesh,Maize (corn),2019,445099.0,8019.2
Bangladesh,Maize (corn),2020,471709.0,8512.3
Bangladesh,Maize (corn),2021,479826.0,8579.0
Bangladesh,Maize (corn),2022,478227.0,8911.8
Bangladesh,Maize (corn),2023,496882.0,9242.7
Bangladesh,Maize (corn),2024,496681.0,9246.4
Bangladesh,Millet,1961,59500.0,665.5
Bangladesh,Millet,1962,61500.0,643.9
Bangladesh,Millet,1963,51800.0,706.6
Bangladesh,Millet,1964,48900.0,748.5
Bangladesh,Millet,1965,53000.0,958.5
Bangladesh,Millet,1966,52200.0,953.8
Bangladesh,Millet,1967,52600.0,888.6
Bangladesh,Millet,1968,82419.0,798.6
Bangladesh,Millet,1969,81414.0,795.9
Bangladesh,Millet,1970,79803.0,781.9
Bangladesh,Millet,1971,66632.0,768.6
Bangladesh,Millet,1972,67988.0,747.2
Bangladesh,Millet,1973,66780.0,725.4
Bangladesh,Millet,1974,68682.0,675.7
Bangladesh,Millet,1975,64530.0,680.9
Bangladesh,Millet,1976,62572.0,667.1
Bangladesh,Millet,1977,64044.0,690.8
Bangladesh,Millet,1978,56253.0,684.1
Bangladesh,Millet,1979,59959.0,667.8
