Area,Item,Year,Area harvested,Yield
Bhutan,Maize (corn),1961,34300.0,1399.4
Bhutan,Maize (corn),1962,35400.0,1398.3
Bhutan,Maize (corn),1963,36400.0,1401.1
Bhutan,Maize (corn),1964,37500.0,1400.0
Bhutan,Maize (corn),1965,38600.0,1399.0
Bhutan,Maize (corn),1966,39600.0,1401.5
Bhutan,Maize (corn),1967,40700.0,1400.5
Bhutan,Maize (corn),1968,42500.0,1400.0
Bhutan,Maize (corn),1969,43600.0,1399.1
Bhutan,Maize (corn),1970,44600.0,1401.3
Bhutan,Maize (corn),1971,45700.0,1400.4
Bhutan,Maize (corn),1972,46800.0,1399.6
Bhutan,Maize (corn),1973,47900.0,1398.7
Bhutan,Maize (corn),1974,48900.0,1400.8
Bhutan,Maize (corn),1975,50000.0,1400.0
Bhutan,Maize (corn),1976,51100.0,1399.2
Bhutan,Maize (corn),1977,52100.0,1401.2
Bhutan,Maize (corn),1978,53200.0,1400.4
Bhutan,Maize (corn),1979,54300.0,1399.6
Bhutan,Maize (corn),1980,55400.0,1398.9
Bhutan,Maize (corn),1981,56800.0,1420.8
Bhutan,Maize (corn),1982,56817.0,1420.9
Bhutan,Maize (corn),1983,59300.0,1399.7
Bhutan,Maize (corn),1984,58474.0,1360.7
Bhutan,Maize (corn),1985,56000.0,1357.1
Bhutan,Maize (corn),1986,54000.0,1361.1
Bhutan,Maize (corn),1987,52400.0,954.2
Bhutan,Maize (corn),1988,41890.0,743.1
Bhutan,Maize (corn),1989,41890.0,742.4
Bhutan,Maize (corn),1990,42000.0,952.4
Bhutan,Maize (corn),1991,41000.0,1012.9
Bhutan,Maize (corn),1992,40000.0,1000.0
Bhutan,Maize (corn),1993,45000.0,1111.1
Bhutan,Maize (corn),1994,46976.0,1277.2
Bhutan,Maize (corn),1995,49898.0,1402.8
Bhutan,Maize (corn),1996,50000.0,1600.0
Bhutan,Maize (corn),1997,50000.0,1700.0
Bhutan,Maize (corn),1998,50000.0,1700.0
Bhutan,Maize (corn),1999,45000.0,1555.6
Bhutan,Maize (corn),2000,31000.0,1564.5
Bhutan,Maize (corn),2001,38000.0,1578.9
Bhutan,Maize (corn),2002,26118.0,1585.6
Bhutan,Maize (corn),2003,26849.0,1850.4
Bhutan,Maize (corn),2004,21788.0,4049.5
Bhutan,Maize (corn),2005,30700.0,3060.8
Bhutan,Maize (corn),2006,30243.0,2647.9
Bhutan,Maize (corn),2007,38824.0,2182.4
Bhutan,Maize (corn),2008,28308.0,2446.4
Bhutan,Maize (corn),2009,28570.0,2140.6
