Area,Item,Year,Area harvested,Yield
China,Maize (corn),1961,15215000.0,1184.8
China,Maize (corn),1962,12818000.0,1270.6
China,Maize (corn),1963,15379210.0,1340.4
China,Maize (corn),1964,15368015.0,1479.2
China,Maize (corn),1965,15673615.0,1511.5
China,Maize (corn),1966,17024011.0,1714.1
China,Maize (corn),1967,16021386.0,1935.8
China,Maize (corn),1968,16022641.0,1817.5
China,Maize (corn),1969,16019040.0,1776.9
China,Maize (corn),1970,15838000.0,2089.1
China,Maize (corn),1971,16731276.0,2146.1
China,Maize (corn),1972,16711746.0,1925.0
China,Maize (corn),1973,16584528.0,2334.4
China,Maize (corn),1974,17431837.0,2468.3
China,Maize (corn),1975,18628725.0,2542.2
China,Maize (corn),1976,19250421.0,2507.2
China,Maize (corn),1977,19674052.0,2515.8
China,Maize (corn),1978,19997980.0,2803.1
China,Maize (corn),1979,20146325.0,2985.1
China,Maize (corn),1980,20372005.0,3078.5
China,Maize (corn),1981,19440258.0,3050.7
China,Maize (corn),1982,18564118.0,3268.6
China,Maize (corn),1983,18867740.0,3625.5
China,Maize (corn),1984,18589201.0,3962.0
China,Maize (corn),1985,17755636.0,3610.3
China,Maize (corn),1986,19198886.0,3707.4
China,Maize (corn),1987,20290803.0,3923.0
China,Maize (corn),1988,19773891.0,3930.6
China,Maize (corn),1989,20433871.0,3881.3
China,Maize (corn),1990,21482665.0,4525.2
China,Maize (corn),1991,21648530.0,4579.9
China,Maize (corn),1992,21119959.0,4534.7
China,Maize (corn),1993,20770936.0,4964.1
China,Maize (corn),1994,21229239.0,4695.1
China,Maize (corn),1995,22848467.0,4917.7
China,Maize (corn),1996,24571227.0,5203.9
China,Maize (corn),1997,23836937.0,4390.1
China,Maize (corn),1998,25281404.0,5268.6
China,Maize (corn),1999,25938564.0,4945.8
China,Maize (corn),2000,23086228.0,4599.2
China,Maize (corn),2001,24310506.0,4699.9
China,Maize (corn),2002,24660837.0,4873.7
China,Maize (corn),2003,24092820.0,4814.6
China,Maize (corn),2004,25467145.0,5121.7
China,Maize (corn),2005,26379450.0,5288.1
China,Maize (corn),2006,28482649.0,5327.2
China,Maize (corn),2007,29496901.0,5167.3
China,Maize (corn),2008,29882708.0,5556.1
China,Maize (corn),2009,31203367.0,5259.3
China,Maize (corn),2010,32517988.0,5459.8
China,Maize (corn),2011,33559864.0,5748.1
China,Maize (corn),2012,35046465.0,5869.9
China,Maize (corn),2013,36339411.0,6016.1
China,Maize (corn),2014,37150395.0,5809.1
China,Maize (corn),2015,44995748.0,5892.9
China,Maize (corn),2016,44208341.0,5966.7
China,Maize (corn),2017,42429378.0,6110.3
China,Maize (corn),2018,42158995.0,6104.2
China,Maize (corn),2019,41309740.0,6317.1
China,Maize (corn),2020,41292000.0,6317.8
China,Maize (corn),2021,43355859.0,6291.2
China,Maize (corn),2022,43105153.0,6436.1
China,Maize (corn),2023,44255930.0,6531.7
China,Maize (corn),2024,44777349.0,6591.3
China,Millet,1961,7395099.0,974.3
China,Millet,1962,6455697.0,822.1
China,Millet,1963,7505219.0,879.9
China,Millet,1964,7105204.0,986.0
China,Millet,1965,6565175.0,945.2
China,Millet,1966,7005745.0,1285.5
China,Millet,1967,7005861.0,1285.6
China,Millet,1968,6804953.0,1250.0
China,Millet,1969,6904795.0,1231.9
China,Millet,1970,6914718.0,1410.9
China,Millet,1971,7004863.0,1357.1
China,Millet,1972,6504728.0,1077.1
China,Millet,1973,6003839.0,1166.7
China,Millet,1974,6003786.0,1250.2
China,Millet,1975,5303720.0,1226.5
China,Millet,1976,4502868.0,1233.3
China,Millet,1977,4482740.0,1372.6
China,Millet,1978,4273766.0,1533.4
China,Millet,1979,4175666.0,1473.6
China,Millet,1980,3874318.0,1406.2
China,Millet,1981,3892307.0,1481.9
China,Millet,1982,4041035.0,1629.0
China,Millet,1983,4088661.0,1844.5
China,Millet,1984,3798359.0,1849.8
China,Millet,1985,3318936.0,1801.2
China,Millet,1986,2980886.0,1523.5
China,Millet,1987,2688742.0,1688.2
China,Millet,1988,2513604.0,1755.6
China,Millet,1989,2397569.0,1565.7
China,Millet,1990,2278857.0,2007.9
China,Millet,1991,2081282.0,1645.4
China,Millet,1992,1867722.0,1776.3
China,Millet,1993,1832412.0,2182.7
China,Millet,1994,1671845.0,2211.0
China,Millet,1995,1522266.0,1983.6
China,Millet,1996,1514361.0,2359.1
China,Millet,1997,1442239.0,1603.6
China,Millet,1998,1411406.0,2205.9
China,Millet,1999,1329353.0,1744.2
China,Millet,2000,1250296.0,1700.2
China,Millet,2001,1148609.0,1712.3
China,Millet,2002,1140098.0,1909.3
China,Millet,2003,1024463.0,1895.6
China,Millet,2004,916034.0,1979.0
China,Millet,2005,849662.0,2101.8
China,Millet,2006,858397.0,2121.0
China,Millet,2007,839356.0,1796.1
China,Millet,2008,815182.0,1578.3
China,Millet,2009,788217.0,1554.9
China,Millet,2010,808995.0,1945.0
China,Millet,2011,745756.0,2102.3
China,Millet,2012,736294.0,2439.3
China,Millet,2013,716010.0,2439.2
China,Millet,2014,772121.0,3036.7
China,Millet,2015,839698.0,2341.9
China,Millet,2016,551890.0,2526.9
China,Millet,2017,861312.0,2958.7
China,Millet,2018,778495.0,3008.7
China,Millet,2019,830906.0,3139.1
China,Millet,2020,906064.0,2877.5
China,Millet,2021,928838.0,3108.1
China,Millet,2022,840079.0,3117.1
China,Millet,2023,853870.0,3087.5
China,Millet,2024,884639.0,3147.3
China,Other pulses n.e.c.,1992,25000.0,1200.0
China,Other pulses n.e.c.,1993,40000.0,3250.0
China,Other pulses n.e.c.,1994,50000.0,1600.0
China,Other pulses n.e.c.,1995,50000.0,2000.0
China,Other pulses n.e.c.,1996,50827.0,2005.6
China,Other pulses n.e.c.,1997,50000.0,2000.0
China,Other pulses n.e.c.,1998,55000.0,2190.9
China,Other pulses n.e.c.,1999,60000.0,1666.7
China,Other pulses n.e.c.,2000,62000.0,1774.2
China,Other pulses n.e.c.,2001,70000.0,1714.3
China,Other pulses n.e.c.,2002,75000.0,1666.7
China,Other pulses n.e.c.,2003,60000.0,2166.7
China,Other pulses n.e.c.,2004,60000.0,2450.0
China,Other pulses n.e.c.,2005,60000.0,2133.3
China,Other pulses n.e.c.,2006,50000.0,2200.0
China,Other pulses n.e.c.,2007,50000.0,2200.0
China,Other pulses n.e.c.,2008,50000.0,2620.0
China,Other pulses n.e.c.,2009,44300.0,2347.6
China,Other pulses n.e.c.,2010,45500.0,2373.6
China,Other pulses n.e.c.,2011,46500.0,2688.2
China,Other pulses n.e.c.,2012,54000.0,2185.2
China,Other pulses n.e.c.,2013,53000.0,2320.8
China,Other pulses n.e.c.,2014,51700.0,2392.6
China,Other pulses n.e.c.,2015,50000.0,2560.0
China,Other pulses n.e.c.,2016,54508.0,2548.3
China,Other pulses n.e.c.,2017,56483.0,2724.0
China,Other pulses n.e.c.,2018,60293.0,2556.1
China,Other pulses n.e.c.,2019,55442.0,2576.6
China,Other pulses n.e.c.,2020,55645.0,2582.0
China,Other pulses n.e.c.,2021,56249.0,2620.3
China,Other pulses n.e.c.,2022,55861.0,2616.7
