Area,Item,Year,Area harvested,Yield
India,Maize (corn),1961,4507000.0,956.7
India,Maize (corn),1962,4643000.0,992.2
India,Maize (corn),1963,4582000.0,995.4
India,Maize (corn),1964,4618000.0,1010.0
India,Maize (corn),1965,4799000.0,1005.0
India,Maize (corn),1966,5073800.0,964.5
India,Maize (corn),1967,5583400.0,1122.8
India,Maize (corn),1968,5715800.0,997.4
India,Maize (corn),1969,5862200.0,967.9
India,Maize (corn),1970,5852300.0,1279.1
India,Maize (corn),1971,5667600.0,899.9
India,Maize (corn),1972,5837800.0,1094.3
India,Maize (corn),1973,6015400.0,964.8
India,Maize (corn),1974,5863100.0,948.1
India,Maize (corn),1975,6030700.0,1203.1
India,Maize (corn),1976,6000300.0,1060.1
India,Maize (corn),1977,5682700.0,1051.1
India,Maize (corn),1978,5760000.0,1076.2
India,Maize (corn),1979,5720600.0,979.4
India,Maize (corn),1980,6004800.0,1158.6
India,Maize (corn),1981,5934700.0,1162.2
India,Maize (corn),1982,5720300.0,1144.8
India,Maize (corn),1983,5859000.0,1352.1
India,Maize (corn),1984,5799500.0,1455.6
India,Maize (corn),1985,5797200.0,1146.0
India,Maize (corn),1986,5923100.0,1281.9
India,Maize (corn),1987,5560900.0,1028.8
India,Maize (corn),1988,5896700.0,1395.5
India,Maize (corn),1989,5915100.0,1631.6
India,Maize (corn),1990,5904300.0,1517.8
India,Maize (corn),1991,5859400.0,1376.3
India,Maize (corn),1992,5511000.0,1622.7
India,Maize (corn),1993,6037800.0,1586.6
India,Maize (corn),1994,5922800.0,1471.6
India,Maize (corn),1995,6141300.0,1550.3
India,Maize (corn),1996,6172700.0,1678.0
India,Maize (corn),1997,6308500.0,1747.7
India,Maize (corn),1998,6150700.0,1776.7
India,Maize (corn),1999,6339600.0,1784.8
India,Maize (corn),2000,6682300.0,1799.2
India,Maize (corn),2001,6558000.0,1993.3
India,Maize (corn),2002,6623800.0,1688.5
India,Maize (corn),2003,7249200.0,2015.9
India,Maize (corn),2004,7347500.0,1868.2
India,Maize (corn),2005,7594100.0,1955.7
India,Maize (corn),2006,7790800.0,1811.1
India,Maize (corn),2007,8052300.0,2315.8
India,Maize (corn),2008,7893300.0,2276.5
India,Maize (corn),2009,8342492.0,2146.1
India,Maize (corn),2010,8480267.0,2483.8
India,Maize (corn),2011,8652320.0,2493.5
India,Maize (corn),2012,8615188.0,2493.0
India,Maize (corn),2013,8767898.0,2645.9
India,Maize (corn),2014,9319980.0,2588.8
India,Maize (corn),2015,8801813.0,2637.2
India,Maize (corn),2016,9467938.0,2686.3
India,Maize (corn),2017,9225196.0,2937.5
India,Maize (corn),2018,9276951.0,3023.4
India,Maize (corn),2019,9249478.0,2998.1
India,Maize (corn),2020,9771598.0,3161.4
India,Maize (corn),2021,9921097.0,3303.3
India,Maize (corn),2022,10226318.0,3395.4
India,Maize (corn),2023,11019656.0,3326.5
India,Maize (corn),2024,11349065.0,3544.8
India,Millet,1961,18657008.0,414.1
India,Millet,1962,18218000.0,431.2
India,Millet,1963,18195008.0,435.3
India,Millet,1964,18897008.0,450.1
India,Millet,1965,19225008.0,345.1
India,Millet,1966,19139008.0,396.4
India,Millet,1967,19955904.0,449.8
India,Millet,1968,19036208.0,381.0
India,Millet,1969,20008896.0,458.6
