Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0112","Maize (corn)","1961","1961","ha","500000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","1961","1961","kg/ha","1400","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0112","Maize (corn)","1962","1962","ha","500000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","1962","1962","kg/ha","1400","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0112","Maize (corn)","1963","1963","ha","500000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","1963","1963","kg/ha","1426","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0112","Maize (corn)","1964","1964","ha","505000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","1964","1964","kg/ha","1425.7","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0112","Maize (corn)","1965","1965","ha","500000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","1965","1965","kg/ha","1440","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0112","Maize (corn)","1966","1966","ha","500000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","1966","1966","kg/ha","1440","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0112","Maize (corn)","1967","1967","ha","543000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","1967","1967","kg/ha","1414.4","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0112","Maize (corn)","1968","1968","ha","453000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","1968","1968","kg/ha","1706.4","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0112","Maize (corn)","1969","1969","ha","457000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","1969","1969","kg/ha","1717.7","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0112","Maize (corn)","1970","1970","ha","452000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","1970","1970","kg/ha","1475.7","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0112","Maize (corn)","1971","1971","ha","500000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","1971","1971","kg/ha","1340","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0112","Maize (corn)","1972","1972","ha","460000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","1972","1972","kg/ha","1565.2","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0112","Maize (corn)","1973","1973","ha","470000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","1973","1973","kg/ha","1617","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0112","Maize (corn)","1974","1974","ha","476200","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","1974","1974","kg/ha","1617","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0112","Maize (corn)","1975","1975","ha","484000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","1975","1975","kg/ha","1611.6","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0112","Maize (corn)","1976","1976","ha","482000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","1976","1976","kg/ha","1659.8","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0112","Maize (corn)","1977","1977","ha","480000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","1977","1977","kg/ha","1583.3","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0112","Maize (corn)","1978","1978","ha","482000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","1978","1978","kg/ha","1618.3","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0112","Maize (corn)","1979","1979","ha","472000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","1979","1979","kg/ha","1610.2","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0112","Maize (corn)","1980","1980","ha","450000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","1980","1980","kg/ha","1671.1","E","Estimated value",""
