Country,Crop,Coef_Year,Coef_AreaHarvested,Intercept,R2_Score
Afghanistan,Maize (corn),-4.373259573645506,-0.0016306350326810704,10903.930233446505,-0.29919090952848215
Afghanistan,Millet,2.127476563688908,-0.03522330318683837,-2254.392685117576,-0.1924191988654953
Afghanistan,Other pulses n.e.c.,4.088928431175476,-0.003611258282159911,-7023.743727318844,0.2992804108014523
Afghanistan,Rice,31.276235160960805,0.004866240235513036,-60824.3253160867,-7.622690551873568
Afghanistan,Wheat,11.71342973878769,0.0002571290920653886,-22604.963610135896,-23.465469179143827
Bangladesh,Maize (corn),37.626778751053514,0.025537526893448452,-73534.7236938036,-25.240684456796668
Bangladesh,Millet,-3.883829659232445,0.000795126304262061,8364.012724902703,-2.7618945379947046
Bangladesh,Other pulses n.e.c.,2.981107206012976,-0.0008447656143155437,-5000.796394575768,-7.478983937823896
Bangladesh,Rice,52.9656095754155,3.1404444022553906e-05,-102999.45499779971,-3.3609379104162
Bangladesh,Wheat,21.35651112806253,0.0009518544463678014,-41204.17838440926,-14.367913010481436
Bhutan,Maize (corn),14.028431854816365,-0.02607494349417169,-25166.358532494247,-7.821791570621254
Bhutan,Millet,7.250604655456186,-0.022168881475260936,-13427.050135000183,-0.3328420048303993
Bhutan,Other pulses n.e.c.,8.017817398324938,-0.00911628532471018,-15242.120372365196,-10451.338946649705
Bhutan,Rice,16.53864743745573,-0.058336876795163556,-29294.278396065194,-11.11725807335123
Bhutan,Wheat,13.334431809481897,-0.016914541121462918,-25211.396402509345,-0.2893158951488999
China,Maize (corn),114.29441384889304,-6.979534944164378e-05,-221902.36665142208,-1.0532288043904496
China,Millet,1.811418559736691,-0.00012558986988660844,-1558.5521948585872,-8.635631580374252
China,Other pulses n.e.c.,31.194923208115743,-0.010153034779795697,-59802.25734239457,-3.796912041268122
China,Rice,93.28925897491293,2.547569390695736e-05,-181217.43988304742,-37.06568469148524
China,Wheat,88.12570419107044,2.3111349994237777e-05,-172920.83138747356,0.9025853685675678
India,Maize (corn),19.61303516560398,0.0001428770176615988,-38393.75042047788,-0.8523646562666993
India,Millet,16.551158083995137,1.9741979460794666e-05,-32533.540261374837,-6.611811624389228
India,Other pulses n.e.c.,-3.9098045175250484,-2.3030946888639557e-05,8175.79088026217,-1.0364313060907309
India,Rice,35.91959078165286,3.636025933397121e-05,-70498.89531869607,-0.5556481331544538
India,Wheat,38.696213128878334,2.4932812267173954e-05,-75489.90856058394,0.47492660381977125
